event,date,1Ball,2Ball,3Ball,Fireball
"Midday","04/22/2020","3","9","1","8"
"Midday","04/21/2020","2","8","1","3"
"Midday","04/20/2020","6","4","2","2"
"Midday","04/19/2020","5","4","9","6"
"Midday","04/18/2020","7","3","3","1"
"Midday","04/17/2020","8","4","7","8"
"Midday","04/16/2020","5","3","9","3"
"Midday","04/15/2020","5","4","8","6"
"Midday","04/14/2020","2","7","7","0"
"Midday","04/13/2020","5","2","9","9"
"Midday","04/12/2020","1","0","0","5"
"Midday","04/11/2020","3","3","2","2"
"Midday","04/10/2020","1","6","1","7"
"Midday","04/09/2020","7","4","7","7"
"Midday","04/08/2020","1","5","5","9"
"Midday","04/07/2020","6","4","3","9"
"Midday","04/06/2020","4","3","2","0"
"Midday","04/05/2020","8","2","4","7"
"Midday","04/04/2020","4","5","9","5"
"Midday","04/03/2020","4","4","9","2"
"Midday","04/02/2020","5","0","2","0"
"Midday","04/01/2020","4","7","4","6"
"Midday","03/31/2020","8","1","2","0"
"Midday","03/30/2020","3","9","3","0"
"Midday","03/29/2020","8","0","2","7"
"Midday","03/28/2020","4","1","5","4"
"Midday","03/27/2020","3","1","5","0"
"Midday","03/26/2020","0","8","1","7"
"Midday","03/25/2020","9","9","6","1"
"Midday","03/24/2020","7","6","9","2"
"Midday","03/23/2020","0","1","0","3"
"Midday","03/22/2020","3","5","4","0"
"Midday","03/21/2020","7","5","0","6"
"Midday","03/20/2020","7","1","8","0"
"Midday","03/19/2020","0","7","7","1"
"Midday","03/18/2020","7","4","0","1"
"Midday","03/17/2020","5","4","6","6"
"Midday","03/16/2020","0","7","7","4"
"Midday","03/15/2020","7","4","0","4"
"Midday","03/14/2020","3","6","6","7"
"Midday","03/13/2020","8","5","3","1"
"Midday","03/12/2020","2","4","3","8"
"Midday","03/11/2020","6","6","5","6"
"Midday","03/10/2020","1","5","2","5"
"Midday","03/09/2020","9","5","0","1"
"Midday","03/08/2020","6","0","2","1"
"Midday","03/07/2020","4","5","2","4"
"Midday","03/06/2020","8","3","6","1"
"Midday","03/05/2020","1","5","7","9"
"Midday","03/04/2020","4","5","1","6"
"Midday","03/03/2020","1","8","6","2"
"Midday","03/02/2020","8","0","9","4"
"Midday","03/01/2020","1","7","4","8"
"Midday","02/29/2020","8","7","5","1"
"Midday","02/28/2020","4","3","1","8"
"Midday","02/27/2020","8","0","6","2"
"Midday","02/26/2020","8","0","6","2"
"Midday","02/25/2020","9","2","3","3"
"Midday","02/24/2020","9","2","7","7"
"Midday","02/23/2020","3","2","0","1"
"Midday","02/22/2020","6","3","8","1"
"Midday","02/21/2020","2","4","8","1"
"Midday","02/20/2020","6","5","1","8"
"Midday","02/19/2020","1","7","9","8"
"Midday","02/18/2020","3","9","1","8"
"Midday","02/17/2020","3","3","2","5"
"Midday","02/16/2020","2","3","8","2"
"Midday","02/15/2020","1","0","2","4"
"Midday","02/14/2020","7","2","8","6"
"Midday","02/13/2020","0","3","2","2"
"Midday","02/12/2020","9","3","2","4"
"Midday","02/11/2020","3","2","3","7"
"Midday","02/10/2020","2","5","3","0"
"Midday","02/09/2020","8","7","0","5"
"Midday","02/08/2020","0","7","8","2"
"Midday","02/07/2020","7","6","0","5"
"Midday","02/06/2020","0","7","8","8"
"Midday","02/05/2020","0","9","7","2"
"Midday","02/04/2020","1","7","5","5"
"Midday","02/03/2020","9","1","9","3"
"Midday","02/02/2020","0","2","6","2"
"Midday","02/01/2020","1","3","3","3"
"Midday","01/31/2020","5","6","0","0"
"Midday","01/30/2020","2","6","9","0"
"Midday","01/29/2020","8","6","4","0"
"Midday","01/28/2020","0","8","7","6"
"Midday","01/27/2020","2","9","6","2"
"Midday","01/26/2020","6","6","3","7"
"Midday","01/25/2020","4","9","9","5"
"Midday","01/24/2020","4","4","5","4"
"Midday","01/23/2020","2","2","1","1"
"Midday","01/22/2020","4","3","2","3"
"Midday","01/21/2020","7","3","8","3"
"Midday","01/20/2020","5","1","6","4"
"Midday","01/19/2020","1","2","2","8"
"Midday","01/18/2020","0","8","3","5"
"Midday","01/17/2020","0","6","0","5"
"Midday","01/16/2020","3","8","2","6"
"Midday","01/15/2020","9","4","1","0"
"Midday","01/14/2020","8","9","1","7"
"Midday","01/13/2020","4","0","5","1"
"Midday","01/12/2020","8","8","2","0"
"Midday","01/11/2020","1","6","6","1"
"Midday","01/10/2020","9","7","5","8"
"Midday","01/09/2020","5","7","1","8"
"Midday","01/08/2020","0","1","6","1"
"Midday","01/07/2020","3","3","2","7"
"Midday","01/06/2020","2","5","3","9"
"Midday","01/05/2020","2","4","9","5"
"Midday","01/04/2020","7","2","3","6"
"Midday","01/03/2020","5","2","8","0"
"Midday","01/02/2020","3","2","8","8"
"Midday","01/01/2020","8","9","7","6"
